Country,Date,Number_of_confirmed_cases
Vietnam,4/1/2020,218
Vietnam,4/2/2020,233
Vietnam,4/3/2020,237
Vietnam,4/4/2020,240
Vietnam,4/5/2020,241
Vietnam,4/6/2020,245
Vietnam,4/7/2020,249
Vietnam,4/8/2020,251
Vietnam,4/9/2020,255
Vietnam,4/10/2020,257
Vietnam,4/11/2020,258
Vietnam,4/12/2020,262
Vietnam,4/13/2020,265
Vietnam,4/14/2020,266
Vietnam,4/15/2020,267
Vietnam,4/16/2020,268
Vietnam,4/17/2020,268
Vietnam,4/18/2020,268
Vietnam,4/19/2020,268
Vietnam,4/20/2020,268
Vietnam,4/21/2020,268
Vietnam,4/22/2020,268
Vietnam,4/23/2020,268
Vietnam,4/24/2020,270
Vietnam,4/25/2020,270
Vietnam,4/26/2020,270
Vietnam,4/27/2020,270
Vietnam,4/28/2020,270
Vietnam,4/29/2020,270
Vietnam,4/30/2020,270
Vietnam,5/1/2020,270
US,4/1/2020,224560
US,4/2/2020,256792
US,4/3/2020,289087
US,4/4/2020,321477
US,4/5/2020,351354
US,4/6/2020,382747
US,4/7/2020,413516
US,4/8/2020,444731
US,4/9/2020,480667
US,4/10/2020,515081
US,4/11/2020,544183
US,4/12/2020,571440
US,4/13/2020,598380
US,4/14/2020,627205
US,4/15/2020,652611
US,4/16/2020,682626
US,4/17/2020,715656
US,4/18/2020,743588
US,4/19/2020,769684
US,4/20/2020,799512
US,4/21/2020,825429
US,4/22/2020,854288
US,4/23/2020,887858
US,4/24/2020,920185
US,4/25/2020,950581
US,4/26/2020,977082
US,4/27/2020,1000785
US,4/28/2020,1025362
US,4/29/2020,1051800
US,4/30/2020,1081020
US,5/1/2020,1115946
France,4/1/2020,57122
France,4/2/2020,59228
France,4/3/2020,64452
France,4/4/2020,47378
France,4/5/2020,48233
France,4/6/2020,50887
France,4/7/2020,47396
France,4/8/2020,51251
France,4/9/2020,55035
France,4/10/2020,56600
France,4/11/2020,58045
France,4/12/2020,108791
France,4/13/2020,111932
France,4/14/2020,129380
France,4/15/2020,132588
France,4/16/2020,145166
France,4/17/2020,147057
France,4/18/2020,150863
France,4/19/2020,151955
France,4/20/2020,154402
France,4/21/2020,157068
France,4/22/2020,158868
France,4/23/2020,157158
France,4/24/2020,159969
France,4/25/2020,161647
France,4/26/2020,162280
France,4/27/2020,165966
France,4/28/2020,169098
France,4/29/2020,167643
France,4/30/2020,168861
France,5/1/2020,169387
Italy,4/1/2020,110574
Italy,4/2/2020,115242
Italy,4/3/2020,119827
Italy,4/4/2020,124632
Italy,4/5/2020,128948
Italy,4/6/2020,132547
Italy,4/7/2020,135586
Italy,4/8/2020,139422
Italy,4/9/2020,143626
Italy,4/10/2020,147577
Italy,4/11/2020,152271
Italy,4/12/2020,156363
Italy,4/13/2020,159516
Italy,4/14/2020,162488
Italy,4/15/2020,165155
Italy,4/16/2020,168941
Italy,4/17/2020,172434
Italy,4/18/2020,175925
Italy,4/19/2020,178972
Italy,4/20/2020,181228
Italy,4/21/2020,183957
Italy,4/22/2020,187327
Italy,4/23/2020,189973
Italy,4/24/2020,192994
Italy,4/25/2020,195351
Italy,4/26/2020,197675
Italy,4/27/2020,199414
Italy,4/28/2020,201505
Italy,4/29/2020,203591
Italy,4/30/2020,205463
Italy,5/1/2020,207428
